 name:     cobalt                                                 Feff 8.10
 formula:  Co
 sites:    Co1
 refer1:   Kittel, ISSP
 refer2:
 schoen:
 notes1:   metal, hexagonal close packed (hcp)
 Abs   Z=27 Rmt= 1.331 Rnm= 1.367 K  shell
 Pot 1 Z=27 Rmt= 1.340 Rnm= 1.378
 Gam_ch=1.436E+00 H-L exch
 Mu=-5.188E+00 kf=2.078E+00 Vint=-2.163E+01 Rs_int= 1.746
 Path   27      icalc       2
 -----------------------------------------------------------------------
   3   6.000   5.0200    2.6038   -5.18819 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
      .0000     .0000     .0000  0  27 Co       absorbing atom
    -2.1737    1.2550     .0000  1  27 Co    
     2.1737   -1.2550     .0000  1  27 Co    
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
   .000  3.1181E+00  0.0000E+00 -6.2953E-02  1.007E+00  2.2050E+01  2.0780E+00
   .100  3.1177E+00  2.3566E-02 -1.0463E+00  1.007E+00  2.2074E+01  2.0803E+00
   .200  3.1167E+00  4.6331E-02 -1.9884E+00  1.007E+00  2.2145E+01  2.0872E+00
   .300  3.1149E+00  6.7579E-02 -2.8898E+00  1.007E+00  2.2255E+01  2.0986E+00
   .400  3.1124E+00  8.6744E-02 -3.7510E+00  1.007E+00  2.2394E+01  2.1146E+00
   .500  3.1090E+00  1.0345E-01 -4.5728E+00  1.008E+00  2.2547E+01  2.1349E+00
   .600  3.1047E+00  1.1749E-01 -5.3560E+00  1.008E+00  2.2695E+01  2.1595E+00
   .700  3.0995E+00  1.2884E-01 -6.1015E+00  1.008E+00  2.2817E+01  2.1882E+00
   .800  3.0932E+00  1.3758E-01 -6.8102E+00  1.009E+00  2.2893E+01  2.2209E+00
   .900  3.0857E+00  1.4387E-01 -7.4829E+00  1.010E+00  2.2899E+01  2.2575E+00
  1.000  3.0769E+00  1.4788E-01 -8.1202E+00  1.011E+00  2.2817E+01  2.2979E+00
  1.100  3.0666E+00  1.4983E-01 -8.7227E+00  1.012E+00  2.2633E+01  2.3419E+00
  1.200  3.0547E+00  1.4990E-01 -9.2910E+00  1.014E+00  2.2340E+01  2.3894E+00
  1.300  3.0409E+00  1.4824E-01 -9.8250E+00  1.016E+00  2.1937E+01  2.4403E+00
  1.400  3.0249E+00  1.4501E-01 -1.0325E+01  1.018E+00  2.1431E+01  2.4945E+00
