 name:     iron                                                   Feff 8.20
 formula:  Fe
 sites:    Fe1
 refer1:   Kittel, ISSP
 refer2:
 schoen:
 notes1:   metal, bcc
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=26 Rmt= 1.347 Rnm= 1.395 K  shell
 Pot 1 Z=26 Rmt= 1.358 Rnm= 1.408
 Gam_ch=1.309E+00 H-L exch
 Mu=-5.451E+00 kf=2.045E+00 Vint=-2.138E+01 Rs_int= 1.773
 PATH  Rmax= 5.468,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   22      icalc       2
 -----------------------------------------------------------------------
   4  24.000   5.3555    2.6602   -5.45080 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
     0.0000    0.0000    0.0000  0  26 Fe       absorbing atom
     0.0000   -2.8700    0.0000  1  26 Fe    
     1.4350   -4.3050   -1.4350  1  26 Fe    
     0.0000   -2.8700    0.0000  1  26 Fe    
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  0.000  3.0656E+00  0.0000E+00 -8.0744E-01  1.008E+00  2.3816E+01  2.0455E+00
  0.100  3.0651E+00  8.2332E-03 -1.8534E+00  1.008E+00  2.3843E+01  2.0478E+00
  0.200  3.0638E+00  1.6056E-02 -2.8495E+00  1.008E+00  2.3921E+01  2.0548E+00
  0.300  3.0615E+00  2.3120E-02 -3.7966E+00  1.008E+00  2.4043E+01  2.0665E+00
  0.400  3.0583E+00  2.9181E-02 -4.6958E+00  1.008E+00  2.4194E+01  2.0826E+00
  0.500  3.0540E+00  3.4117E-02 -5.5488E+00  1.009E+00  2.4357E+01  2.1033E+00
  0.600  3.0487E+00  3.7921E-02 -6.3573E+00  1.009E+00  2.4509E+01  2.1282E+00
  0.700  3.0423E+00  4.0673E-02 -7.1230E+00  1.009E+00  2.4625E+01  2.1574E+00
  0.800  3.0345E+00  4.2504E-02 -7.8477E+00  1.010E+00  2.4678E+01  2.1906E+00
  0.900  3.0255E+00  4.3569E-02 -8.5329E+00  1.011E+00  2.4644E+01  2.2277E+00
  1.000  3.0149E+00  4.4016E-02 -9.1798E+00  1.012E+00  2.4501E+01  2.2687E+00
  1.100  3.0027E+00  4.3987E-02 -9.7897E+00  1.013E+00  2.4235E+01  2.3133E+00
  1.200  2.9887E+00  4.3590E-02 -1.0363E+01  1.015E+00  2.3840E+01  2.3614E+00
  1.300  2.9727E+00  4.2912E-02 -1.0902E+01  1.017E+00  2.3319E+01  2.4130E+00
  1.400  2.9544E+00  4.2019E-02 -1.1405E+01  1.019E+00  2.2685E+01  2.4679E+00
  1.500  2.9337E+00  4.0953E-02 -1.1874E+01  1.022E+00  2.1959E+01  2.5261E+00
  1.600  2.9101E+00  3.9745E-02 -1.2308E+01  1.025E+00  2.1168E+01  2.5876E+00
  1.700  2.8834E+00  3.8408E-02 -1.2708E+01  1.029E+00  2.0342E+01  2.6523E+00
  1.800  2.8531E+00  3.6953E-02 -1.3072E+01  1.033E+00  1.9512E+01  2.7202E+00
  1.900  2.8190E+00  3.5378E-02 -1.3400E+01  1.037E+00  1.8707E+01  2.7914E+00
  2.000  2.7805E+00  3.3684E-02 -1.3691E+01  1.042E+00  1.7955E+01  2.8659E+00
  2.200  2.6884E+00  2.9857E-02 -1.4156E+01  1.050E+00  1.6709E+01  3.0253E+00
  2.400  2.5506E+00  2.4825E-02 -1.4417E+01  1.050E+00  1.5952E+01  3.2103E+00
  2.600  2.4322E+00  2.4796E-02 -1.4637E+01  1.190E+00  8.3993E+00  3.3882E+00
  2.800  2.4204E+00  1.9094E-02 -1.5206E+01  1.240E+00  6.8915E+00  3.5221E+00
  3.000  2.3954E+00  1.2775E-02 -1.5754E+01  1.262E+00  6.2300E+00  3.6583E+00
  3.200  2.3462E+00  7.1460E-03 -1.6275E+01  1.268E+00  5.9194E+00  3.8039E+00
  3.400  2.2834E+00  2.4681E-03 -1.7062E+01  1.257E+00  5.7884E+00  3.9551E+00
  3.600  2.2115E+00  2.5754E-03 -1.9217E+01  1.248E+00  5.7639E+00  4.1116E+00
  3.800  2.1323E+00  5.2781E-03 -1.9735E+01  1.228E+00  5.8097E+00  4.2726E+00
  4.000  2.0476E+00  7.1099E-03 -1.9922E+01  1.212E+00  5.9056E+00  4.4377E+00
